MMDDYYYY,YYDOY,HT,LAT,LON,SRAD,TMAX,TMIN,PR
01/01/2006,6001,2,34.01,71.46,1.31,6.32,1.93,10.84
01/02/2006,6002,2,34.01,71.46,4.93,7.66,1.38,3.51
01/03/2006,6003,2,34.01,71.46,6.12,8.59,0,0.16
01/04/2006,6004,2,34.01,71.46,13.11,11.07,0,0.04
01/05/2006,6005,2,34.01,71.46,13.14,12.38,0,0
01/06/2006,6006,2,34.01,71.46,13.15,12.36,0,0
01/07/2006,6007,2,34.01,71.46,13.39,15.49,0,0
01/08/2006,6008,2,34.01,71.46,12.91,16.59,0.67,0
01/09/2006,6009,2,34.01,71.46,5.8,13.91,5,0
01/10/2006,6010,2,34.01,71.46,11.89,16.63,2.65,0
01/11/2006,6011,2,34.01,71.46,12.27,17.43,2.3,0
01/12/2006,6012,2,34.01,71.46,13.07,17.24,2.36,0
01/13/2006,6013,2,34.01,71.46,8.41,15.81,3.36,0
01/14/2006,6014,2,34.01,71.46,6.45,15.15,3.16,0.79
01/15/2006,6015,2,34.01,71.46,1.27,6.14,2.05,18.88
01/16/2006,6016,2,34.01,71.46,4.25,10.92,1.86,0.74
01/17/2006,6017,2,34.01,71.46,6.37,13.48,2.02,6.33
01/18/2006,6018,2,34.01,71.46,13.38,11.57,0,0.04
01/19/2006,6019,2,34.01,71.46,14.2,11.55,0,0
01/20/2006,6020,2,34.01,71.46,9.77,10.88,0,0.16
01/21/2006,6021,2,34.01,71.46,13.52,12.31,0,0
01/22/2006,6022,2,34.01,71.46,11.27,13.09,1.69,0
01/23/2006,6023,2,34.01,71.46,13.97,14.23,0.93,0
01/24/2006,6024,2,34.01,71.46,12.42,14.14,0,0
01/25/2006,6025,2,34.01,71.46,14.27,16.78,1.12,0
01/26/2006,6026,2,34.01,71.46,13.92,16.56,1.84,0
01/27/2006,6027,2,34.01,71.46,8.45,14.85,2.98,0.24
01/28/2006,6028,2,34.01,71.46,5.06,12.91,3.75,2.99
01/29/2006,6029,2,34.01,71.46,9.16,16.68,2.93,0
01/30/2006,6030,2,34.01,71.46,9.59,19.01,7.26,0.01
01/31/2006,6031,2,34.01,71.46,7.64,18.01,7.56,0
02/01/2006,6032,2,34.01,71.46,10.77,18.49,5.88,0.03
02/02/2006,6033,2,34.01,71.46,10.33,20.15,6.2,0.01
02/03/2006,6034,2,34.01,71.46,16.1,22.88,4.09,0
02/04/2006,6035,2,34.01,71.46,15.83,25.11,5.66,0
02/05/2006,6036,2,34.01,71.46,11.92,23.97,6.81,0
02/06/2006,6037,2,34.01,71.46,6.88,18.81,7.64,0
02/07/2006,6038,2,34.01,71.46,16.16,23.62,6.18,0
02/08/2006,6039,2,34.01,71.46,16.35,22.62,6.33,0
02/09/2006,6040,2,34.01,71.46,16.24,23.39,6.51,0
02/10/2006,6041,2,34.01,71.46,15.37,24.65,8.04,0
02/11/2006,6042,2,34.01,71.46,14.92,24.07,9.49,0
02/12/2006,6043,2,34.01,71.46,8.82,21.77,10,0.1
02/13/2006,6044,2,34.01,71.46,14.11,23.07,7.31,4.63
02/14/2006,6045,2,34.01,71.46,6.69,19.08,9.11,45.91
02/15/2006,6046,2,34.01,71.46,12.99,20.47,8.23,0.72
02/16/2006,6047,2,34.01,71.46,11.76,20.79,7.54,0.01
02/17/2006,6048,2,34.01,71.46,12.76,17.01,6.89,0.11
02/18/2006,6049,2,34.01,71.46,13.86,22,8.07,1.93
02/19/2006,6050,2,34.01,71.46,4.38,15.43,8.36,50.32
02/20/2006,6051,2,34.01,71.46,17.2,21.05,6.37,0
02/21/2006,6052,2,34.01,71.46,16.95,21.34,7.17,0.01
02/22/2006,6053,2,34.01,71.46,12.22,20.06,8.24,2.23
02/23/2006,6054,2,34.01,71.46,15.56,21.05,7.02,0.68
02/24/2006,6055,2,34.01,71.46,7.47,20.3,8.06,0.76
02/25/2006,6056,2,34.01,71.46,5.88,14.93,8.75,11.59
02/26/2006,6057,2,34.01,71.46,19.08,19.43,6.08,0.24
02/27/2006,6058,2,34.01,71.46,19.39,20.49,5.1,0.08
02/28/2006,6059,2,34.01,71.46,19.41,21.99,4.57,0
03/01/2006,6060,2,34.01,71.46,19.16,23.7,7.17,0
03/02/2006,6061,2,34.01,71.46,17.46,23.9,7.6,0
03/03/2006,6062,2,34.01,71.46,18.42,22.58,7.38,0
03/04/2006,6063,2,34.01,71.46,6.56,20.34,8.97,0.33
03/05/2006,6064,2,34.01,71.46,15.4,21.05,7.32,1.02
03/06/2006,6065,2,34.01,71.46,8.38,17.98,8.59,1.23
03/07/2006,6066,2,34.01,71.46,12.42,18.2,6.63,11.6
03/08/2006,6067,2,34.01,71.46,9.75,14.22,7.67,40.22
03/09/2006,6068,2,34.01,71.46,19.68,21.8,7.13,0
03/10/2006,6069,2,34.01,71.46,21.19,24.82,7.88,0
03/11/2006,6070,2,34.01,71.46,21.77,22.55,8,0
03/12/2006,6071,2,34.01,71.46,18.64,21.63,8.86,0
03/13/2006,6072,2,34.01,71.46,8.77,16.37,8.16,5.25
03/14/2006,6073,2,34.01,71.46,10.41,19.67,6.5,5.19
03/15/2006,6074,2,34.01,71.46,14.28,16.75,8.58,1.56
03/16/2006,6075,2,34.01,71.46,11.29,17.25,6.61,0.11
03/17/2006,6076,2,34.01,71.46,22.65,20.64,5.34,0
